Number of Iterations, Accuracy 
129400, 0.94711538 
129600, 0.95673077 
129800, 0.90384615 
130000, 0.95192308 
130200, 0.94711538 
130400, 0.97596154 
130600, 0.98076923 
130800, 0.91346154 
131000, 0.91826923 
131200, 0.97596154 
131400, 0.98557692 
131600, 0.92788462 
131800, 0.99038462 
132000, 0.98076923 
132200, 0.99038462 
132400, 0.98557692 
132600, 0.97115385 
132800, 0.95673077 
133000, 0.94711538 
133200, 0.90384615 
133400, 0.98076923 
133600, 0.92788462 
133800, 0.98557692 
134000, 0.91826923 
134200, 0.89423077 
134400, 0.96634615 
134600, 0.96153846 
134800, 0.97596154 
135000, 0.99038462 
135200, 0.91826923 
135400, 0.89903846 
135600, 0.94230769 
135800, 0.96153846 
136000, 0.89903846 
136200, 0.88461538 
136400, 0.98557692 
136600, 0.99038462 
